name,equipment_type,brand,model,serial_number,inventory_code,entry_date,location,floor
Mechanical Ventilator,Mechanical Ventilator,Mindray,EC-381,SN-2023-0001-242,INV-0001,2023-07-08,Inpatient Ward,Floor 2
Mechanical Ventilator,Mechanical Ventilator,Welch Allyn,MX-704,SN-2021-0002-130,INV-0002,2021-05-15,Clinical Laboratory,Floor 2
Electrocardiograph,Electrocardiograph,Drger,V-617,SN-2021-0003-674,INV-0003,2021-04-23,Biomedical Storage,Basement
Ultrasound Machine,Ultrasound Machine,Welch Allyn,L-325,SN-2024-0004-928,INV-0004,2024-02-18,Medical Imaging,Floor 1
Vital Signs Monitor,Vital Signs Monitor,GE Healthcare,EC-532,SN-2024-0005-259,INV-0005,2024-02-17,Outpatient Clinic,Floor 1
Ultrasound Machine,Ultrasound Machine,Medtronic,MX-194,SN-2022-0006-467,INV-0006,2022-02-05,Clinical Laboratory,Floor 2
Anesthesia Machine,Anesthesia Machine,Nihon Kohden,A-926,SN-2026-0007-649,INV-0007,2026-03-01,Emergency Department,Floor 1
Mechanical Ventilator,Mechanical Ventilator,B. Braun,MX-665,SN-2025-0008-691,INV-0008,2025-01-25,Operating Rooms,Floor 1
Ultrasound Machine,Ultrasound Machine,Philips,MX-777,SN-2024-0009-181,INV-0009,2024-04-04,Inpatient Ward,Floor 2
X-Ray Machine,X-Ray Machine,Philips,L-384,SN-2025-0010-266,INV-0010,2025-02-07,Medical Imaging,Floor 1
Anesthesia Machine,Anesthesia Machine,Medtronic,V-786,SN-2021-0011-723,INV-0011,2021-10-24,Operating Rooms,Floor 1
Hospital Bed,Hospital Bed,Welch Allyn,EC-350,SN-2026-0012-488,INV-0012,2026-03-13,Neonatal ICU,Floor 3
Sterilizer,Sterilizer,Welch Allyn,V-801,SN-2021-0013-334,INV-0013,2021-08-22,Outpatient Clinic,Floor 1
Defibrillator,Defibrillator,Medtronic,L-374,SN-2023-0014-680,INV-0014,2023-05-19,Adult ICU,Floor 3
Surgical Aspirator,Surgical Aspirator,Drger,EC-611,SN-2026-0015-246,INV-0015,2026-02-27,Clinical Laboratory,Floor 2
Sterilizer,Sterilizer,GE Healthcare,V-862,SN-2023-0016-864,INV-0016,2023-12-17,Pediatrics,Floor 2
Microscope,Microscope,B. Braun,PM-508,SN-2023-0017-241,INV-0017,2023-06-22,Outpatient Clinic,Floor 1
